Population,Total Population,Females,Males,Married Females,Married Males,Girls,Boys
2775,4848,1406,1369,251,143,356,350
2812,4900,1419,1393,249,144,354,366
2838,4945,1430,1408,247,143,350,370
2867,4991,1449,1418,256,151,356,367
2889,5035,1467,1422,258,155,360,369
2921,5085,1485,1436,270,161,365,371
2940,5126,1494,1446,274,164,367,369
2964,5176,1505,1459,282,169,375,373
2973,5205,1513,1460,283,170,373,370
2985,5247,1515,1470,283,171,367,371
3015,5303,1533,1482,283,174,379,383
3025,5340,1539,1486,277,174,377,381
3065,5397,1562,1503,270,171,385,384
3101,5449,1583,1518,272,168,391,379
3141,5508,1604,1537,272,164,403,385
3161,5556,1620,1541,274,163,405,388
3185,5602,1638,1547,279,170,412,388
3209,5645,1648,1561,285,177,411,386
3231,5693,1658,1573,286,181,415,378
3257,5745,1671,1586,285,175,426,374
3292,5806,1683,1609,285,172,422,393
3317,5856,1687,1630,285,176,420,401
3319,5898,1686,1633,283,186,413,400
3348,5948,1698,1650,284,194,413,409
3396,6019,1717,1679,294,192,419,424
3429,6079,1733,1696,294,190,433,441
3455,6129,1752,1703,296,190,443,439
3484,6183,1765,1719,293,186,438,442
3509,6232,1783,1726,291,186,446,446
3536,6290,1793,1743,284,182,439,454
3594,6372,1823,1771,283,183,448,475
3639,6435,1843,1796,299,195,450,477
3673,6496,1868,1805,308,201,461,479
3688,6542,1877,1811,318,208,456,484
3718,6603,1892,1826,326,206,467,491
3750,6660,1904,1846,343,220,470,497
3768,6712,1917,1851,341,214,466,501
3794,6769,1934,1860,347,210,473,490
3824,6826,1944,1880,347,213,479,491
3855,6887,1960,1895,346,212,492,497
3883,6944,1971,1912,349,207,497,499
3915,6995,1983,1932,353,222,486,490
3948,7053,1989,1959,342,219,483,491
3980,7110,1999,1981,337,218,475,506
4006,7175,2012,1994,336,225,482,510
4053,7252,2045,2008,340,240,499,521
4097,7326,2073,2024,338,244,518,518
4140,7398,2094,2046,347,243,513,513
4187,7473,2111,2076,349,249,509,529
4234,7536,2137,2097,352,245,506,534
4274,7603,2153,2121,348,253,514,547
4309,7671,2177,2132,363,270,517,551
4351,7750,2194,2157,368,272,529,561
4404,7832,2217,2187,370,261,544,576
4439,7901,2235,2204,361,252,549,583
4463,7969,2245,2218,357,247,559,584
4487,8030,2252,2235,353,246,554,589
4531,8110,2272,2259,356,249,567,599
4591,8197,2307,2284,351,237,596,606
4632,8277,2336,2296,354,243,620,604
4678,8357,2360,2318,359,245,640,607
4724,8435,2380,2344,352,243,644,616
4764,8515,2402,2362,344,248,649,614
4803,8591,2412,2391,341,255,638,627
4853,8671,2435,2418,326,253,639,634
4896,8745,2466,2430,320,248,655,617
4935,8821,2485,2450,336,251,661,624
4948,8890,2493,2455,350,255,665,622
4985,8965,2521,2464,347,254,678,616
5049,9059,2554,2495,357,281,687,622
5098,9153,2579,2519,357,276,695,626
5140,9236,2607,2533,352,276,705,630
5196,9328,2638,2558,366,290,718,641
5240,9408,2663,2577,369,294,739,639
5276,9491,2679,2597,371,296,737,644
5323,9575,2700,2623,375,295,728,650
5371,9661,2724,2647,385,299,719,665
5412,9744,2739,2673,384,305,716,671
5464,9837,2768,2696,392,315,730,672
5523,9937,2796,2727,394,308,729,693
5568,10028,2822,2746,411,309,749,688
5617,10115,2852,2765,420,314,758,686
5689,10224,2894,2795,422,322,774,705
5759,10331,2932,2827,430,310,792,718
5791,10418,2942,2849,426,320,800,728
5857,10521,2966,2891,416,318,797,759
5916,10624,2995,2921,425,311,802,763
5988,10735,3035,2953,426,308,813,769
6042,10832,3069,2973,433,314,822,774
6098,10940,3105,2993,442,303,832,780
6155,11046,3133,3022,451,310,835,803
6224,11169,3155,3069,464,319,852,826
6296,11290,3183,3113,476,320,863,852
6348,11396,3210,3138,489,325,878,857
6411,11504,3238,3173,499,319,892,868
6474,11607,3266,3208,497,326,891,879
6537,11714,3290,3247,498,333,888,889
6584,11808,3303,3281,496,339,881,899
6637,11905,3336,3301,501,349,887,903
6698,12011,3361,3337,514,355,879,908
6781,12129,3404,3377,523,366,881,917
6862,12255,3448,3414,540,372,900,937
6922,12369,3478,3444,544,373,907,941
6981,12488,3514,3467,561,377,923,941
7019,12573,3529,3490,583,390,906,932
7086,12685,3569,3517,584,392,913,940
7184,12830,3632,3552,565,388,940,950
7238,12932,3652,3586,572,392,930,956
7317,13061,3696,3621,589,400,946,946
7371,13172,3726,3645,597,393,956,926
7442,13288,3763,3679,605,389,959,933
7513,13415,3796,3717,608,396,974,937
7557,13518,3827,3730,620,423,985,926
7659,13663,3881,3778,625,449,1012,937
7734,13795,3915,3819,633,455,1026,961
7802,13912,3948,3854,635,459,1036,971
7869,14030,3991,3878,629,458,1052,967
7933,14157,4025,3908,621,465,1055,973
7998,14282,4056,3942,618,468,1049,978
